Hostname,OS,Version,Software,IP Address,Asset Tag,Owner,Environment,Location,Lifecycle Status,Patch Level,Last Scanned,Criticality,Business Service,Installed Software,Security Agent Status,Backup Status,Running Services,Normalized OS,Normalized Software
dc-server-1,Linux Server,Debian 11,Docker,10.0.1.2,SYS-000001,user55@example.com,QA,DAL1-RK18-U06,Maintenance,2025-03-31,2025-04-21,Medium,Billing,"Node.js, Tenable, CrowdStrike",Offline,Success (Last: 2025-04-21),"MSSQL, Puppet, Docker",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-2,Windows Server,2022,IIS,10.0.1.3,SYS-000002,user7@example.com,QA,DAL1-RK05-U06,Maintenance,2025-03-26,2025-04-19,Low,ERP,"Nessus, Tenable, .NET",Online,Success (Last: 2025-04-21),"Ansible, Docker, Puppet",Windows Server,".NET, DOCKER, IIS"
dc-server-3,Windows Server,2019,Tomcat,10.0.1.4,SYS-000003,user85@example.com,Dev,DAL1-RK02-U15,Maintenance,2025-04-02,2025-04-14,High,HRMS,"Nessus, CrowdStrike, Node.js",Online,Success (Last: 2025-04-20),"CrowdStrikeSensor, Docker, MSSQL",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS, TOMCAT"
dc-server-4,Windows Server,2019,Tomcat,10.0.1.5,SYS-000004,user61@example.com,Production,DAL1-RK01-U10,Maintenance,2025-03-22,2025-04-15,High,ERP,"Java, CrowdStrike, Node.js",Offline,Success (Last: 2025-04-17),"Docker, Puppet, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, DOCKER, JAVA, NODE.JS, TOMCAT"
dc-server-5,Linux Server,Debian 11,Tomcat,10.0.1.6,SYS-000005,user25@example.com,Dev,DAL1-RK02-U13,In Use,2025-04-11,2025-04-20,High,ERP,"Nessus, .NET, CrowdStrike",Offline,Success (Last: 2025-04-17),"MSSQL, W3SVC, Docker",Windows Server,".NET, CROWDSTRIKE, DOCKER, TOMCAT"
dc-server-6,Linux Server,Ubuntu 20.04,IIS,10.0.1.7,SYS-000006,user100@example.com,Dev,DAL1-RK11-U14,In Use,2025-04-07,2025-04-16,Medium,Billing,"Node.js, CrowdStrike, Java",Offline,Success (Last: 2025-04-20),"Ansible, CrowdStrikeSensor, Docker",Windows Server,"CROWDSTRIKE, DOCKER, IIS, JAVA, NODE.JS"
dc-server-7,Linux Server,RHEL 8,Redis,10.0.1.8,SYS-000007,user15@example.com,QA,DAL1-RK11-U18,Maintenance,2025-04-14,2025-04-16,High,Analytics,"CrowdStrike, Nessus, Node.js",Online,Success (Last: 2025-04-20),"Docker, W3SVC, Puppet",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS, REDIS"
dc-server-8,Linux Server,RHEL 8,Nginx,10.0.1.9,SYS-000008,user18@example.com,QA,DAL1-RK03-U20,Maintenance,2025-04-21,2025-04-18,Low,Web Portal,"CrowdStrike, Java, .NET",Online,Success (Last: 2025-04-16),"CrowdStrikeSensor, MSSQL, Ansible",Windows Server,".NET, CROWDSTRIKE, JAVA, NGINX"
dc-server-9,Windows Server,2022,Apache,10.0.1.10,SYS-000009,user48@example.com,QA,DAL1-RK06-U05,In Use,2025-04-09,2025-04-17,High,HRMS,"Tenable, Nessus, Node.js",Online,Success (Last: 2025-04-21),"W3SVC, Ansible, Puppet",Linux Server,"APACHE, NODE.JS"
dc-server-10,Linux Server,Debian 11,Nginx,10.0.1.11,SYS-000010,user96@example.com,Production,DAL1-RK15-U14,Maintenance,2025-03-27,2025-04-20,Medium,Web Portal,"Nessus, Java, .NET",Online,Success (Last: 2025-04-20),"Ansible, Puppet, Docker",Windows Server,".NET, DOCKER, JAVA, NGINX"
dc-server-11,Linux Server,Ubuntu 20.04,Redis,10.0.1.12,SYS-000011,user27@example.com,Production,DAL1-RK12-U07,In Use,2025-04-13,2025-04-14,Low,Analytics,"Nessus, Node.js, CrowdStrike",Offline,Success (Last: 2025-04-21),"Docker, Ansible, Puppet",Cross-platform,"CROWDSTRIKE, DOCKER, NODE.JS, REDIS"
dc-server-12,Windows Server,2022,IIS,10.0.1.13,SYS-000012,user43@example.com,QA,DAL1-RK13-U14,In Use,2025-04-16,2025-04-15,Medium,Analytics,"Node.js, .NET, Java",Online,Success (Last: 2025-04-18),"MSSQL, W3SVC, Puppet",Windows Server,".NET, IIS, JAVA, NODE.JS"
dc-server-13,Windows Server,2019,Apache,10.0.1.14,SYS-000013,user76@example.com,QA,DAL1-RK19-U13,Maintenance,2025-04-02,2025-04-18,Low,Analytics,"CrowdStrike, Node.js, Tenable",Online,Success (Last: 2025-04-16),"W3SVC, Docker, Puppet",Cross-platform,"APACHE, CROWDSTRIKE, DOCKER, NODE.JS"
dc-server-14,Windows Server,2022,Nginx,10.0.1.15,SYS-000014,user42@example.com,Production,DAL1-RK06-U04,In Use,2025-04-01,2025-04-20,High,Billing,".NET, Nessus, CrowdStrike",Offline,Success (Last: 2025-04-16),"MSSQL, Puppet, CrowdStrikeSensor",Windows Server,".NET, CROWDSTRIKE, NGINX"
dc-server-15,Linux Server,RHEL 8,SQL Server,10.0.1.16,SYS-000015,user9@example.com,Production,DAL1-RK09-U19,In Use,2025-04-04,2025-04-19,Medium,Web Portal,"CrowdStrike, .NET, Java",Online,Success (Last: 2025-04-16),"Docker, Ansible, MSSQL",Windows Server,".NET, CROWDSTRIKE, DOCKER, JAVA, SQL SERVER"
dc-server-16,Windows Server,2022,Tomcat,10.0.1.17,SYS-000016,user29@example.com,Production,DAL1-RK02-U15,In Use,2025-04-10,2025-04-14,Medium,Web Portal,"Java, CrowdStrike, Tenable",Offline,Success (Last: 2025-04-17),"MSSQL, CrowdStrikeSensor, Ansible",Cross-platform,"CROWDSTRIKE, JAVA, TOMCAT"
dc-server-17,Linux Server,Debian 11,Apache,10.0.1.18,SYS-000017,user96@example.com,Dev,DAL1-RK05-U18,In Use,2025-04-01,2025-04-20,High,HRMS,"Tenable, Node.js, Nessus",Online,Success (Last: 2025-04-21),"Puppet, MSSQL, CrowdStrikeSensor",Cross-platform,"APACHE, CROWDSTRIKE, NODE.JS"
dc-server-18,Linux Server,Debian 11,Node.js,10.0.1.19,SYS-000018,user47@example.com,QA,DAL1-RK12-U18,Maintenance,2025-03-24,2025-04-14,Medium,ERP,"Java, CrowdStrike, Nessus",Online,Success (Last: 2025-04-18),"MSSQL, Ansible, CrowdStrikeSensor",Cross-platform,"CROWDSTRIKE, JAVA, NODE.JS"
dc-server-19,Windows Server,2019,Node.js,10.0.1.20,SYS-000019,user59@example.com,Production,DAL1-RK06-U09,In Use,2025-04-01,2025-04-14,High,ERP,".NET, CrowdStrike, Java",Online,Success (Last: 2025-04-17),"Ansible, W3SVC, MSSQL",Windows Server,".NET, CROWDSTRIKE, JAVA, NODE.JS"
dc-server-20,Linux Server,RHEL 8,Apache,10.0.1.21,SYS-000020,user1@example.com,Production,DAL1-RK07-U04,In Use,2025-04-11,2025-04-17,Medium,Billing,"Tenable, Node.js, Java",Offline,Success (Last: 2025-04-17),"CrowdStrikeSensor, MSSQL, Ansible",Cross-platform,"APACHE, CROWDSTRIKE, JAVA, NODE.JS"
